Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,random_write(KB/s),random_rewrite(KB/s),random-reread,time,timestamp
iozone,/dev/md5,19,1,4096,1,4096,1,5,0:00:00.098623,2023-06-03 02:01:53.054858
iozone,/dev/md5,19,2,4096,1,4096,1,5,0:00:00.087356,2023-06-03 02:01:53.142407
iozone,/dev/md5,19,3,4096,1,4096,1,5,0:00:00.086922,2023-06-03 02:01:53.229498
iozone,/dev/md5,20,1,4096,1,4096,1,5,0:00:00.087188,2023-06-03 02:01:53.316866
iozone,/dev/md5,20,2,4096,1,4096,1,5,0:00:00.086481,2023-06-03 02:01:53.403519
iozone,/dev/md5,20,3,4096,1,4096,1,5,0:00:00.080445,2023-06-03 02:01:53.484135
iozone,/dev/md5,21,1,4096,1,4096,1,5,0:00:00.088037,2023-06-03 02:01:53.572353
iozone,/dev/md5,21,2,4096,1,4096,1,5,0:00:00.088193,2023-06-03 02:01:53.660716
iozone,/dev/md5,21,3,4096,1,4096,1,5,0:00:00.087402,2023-06-03 02:01:53.748289
iozone,/dev/md5,22,1,4096,4,4096,4,5,0:00:00.085566,2023-06-03 02:01:53.834033
iozone,/dev/md5,22,2,4096,4,4096,4,5,0:00:00.079330,2023-06-03 02:01:53.913532
iozone,/dev/md5,22,3,4096,4,4096,4,5,0:00:00.086709,2023-06-03 02:01:54.000412
iozone,/dev/md5,23,1,4096,4,4096,4,5,0:00:00.086139,2023-06-03 02:01:54.086731
iozone,/dev/md5,23,2,4096,4,4096,4,5,0:00:00.079969,2023-06-03 02:01:54.166873
iozone,/dev/md5,23,3,4096,4,4096,4,5,0:00:00.079038,2023-06-03 02:01:54.246107
iozone,/dev/md5,24,1,4096,4,4096,4,5,0:00:00.090022,2023-06-03 02:01:54.336307
iozone,/dev/md5,24,2,4096,4,4096,4,5,0:00:00.079030,2023-06-03 02:01:54.415508
iozone,/dev/md5,24,3,4096,4,4096,4,5,0:00:00.088106,2023-06-03 02:01:54.503794
iozone,/dev/md5,25,1,4096,8,4096,8,5,0:00:00.087753,2023-06-03 02:01:54.591727
iozone,/dev/md5,25,2,4096,8,4096,8,5,0:00:00.087260,2023-06-03 02:01:54.679165
iozone,/dev/md5,25,3,4096,8,4096,8,5,0:00:00.087587,2023-06-03 02:01:54.766920
iozone,/dev/md5,26,1,4096,8,4096,8,5,0:00:00.103301,2023-06-03 02:01:54.870423
iozone,/dev/md5,26,2,4096,8,4096,8,5,0:00:00.078572,2023-06-03 02:01:54.949168
iozone,/dev/md5,26,3,4096,8,4096,8,5,0:00:00.097634,2023-06-03 02:01:55.046972
iozone,/dev/md5,27,1,4096,8,4096,8,5,0:00:00.087597,2023-06-03 02:01:55.134746
iozone,/dev/md5,27,2,4096,8,4096,8,5,0:00:00.079156,2023-06-03 02:01:55.214073
iozone,/dev/md5,27,3,4096,8,4096,8,5,0:00:00.086670,2023-06-03 02:01:55.300912
iozone,/dev/md5,28,1,4096,16,4096,16,5,0:00:00.085762,2023-06-03 02:01:55.386854
iozone,/dev/md5,28,2,4096,16,4096,16,5,0:00:00.078940,2023-06-03 02:01:55.465981
iozone,/dev/md5,28,3,4096,16,4096,16,5,0:00:00.086558,2023-06-03 02:01:55.552709
iozone,/dev/md5,29,1,4096,16,4096,16,5,0:00:00.086108,2023-06-03 02:01:55.638995
iozone,/dev/md5,29,2,4096,16,4096,16,5,0:00:00.087448,2023-06-03 02:01:55.726612
iozone,/dev/md5,29,3,4096,16,4096,16,5,0:00:00.079231,2023-06-03 02:01:55.806013
iozone,/dev/md5,30,1,4096,16,4096,16,5,0:00:00.086454,2023-06-03 02:01:55.892659
iozone,/dev/md5,30,2,4096,16,4096,16,5,0:00:00.087819,2023-06-03 02:01:55.980647
iozone,/dev/md5,30,3,4096,16,4096,16,5,0:00:00.079382,2023-06-03 02:01:56.060200
iozone,/dev/md5,31,1,4096,32,4096,32,5,0:00:00.085701,2023-06-03 02:01:56.146082
iozone,/dev/md5,31,2,4096,32,4096,32,5,0:00:00.086696,2023-06-03 02:01:56.232950
iozone,/dev/md5,31,3,4096,32,4096,32,5,0:00:00.079525,2023-06-03 02:01:56.312644
iozone,/dev/md5,32,1,4096,32,4096,32,5,0:00:00.080198,2023-06-03 02:01:56.393023
iozone,/dev/md5,32,2,4096,32,4096,32,5,0:00:00.079292,2023-06-03 02:01:56.472487
iozone,/dev/md5,32,3,4096,32,4096,32,5,0:00:00.079707,2023-06-03 02:01:56.552366
iozone,/dev/md5,33,1,4096,32,4096,32,5,0:00:00.079271,2023-06-03 02:01:56.631815
