Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,write,rewrite,read,reread,random_reread,random_write(KB/s),bkwd_read,record_rewrite,stride_read,fwrite,"fread,freread",time,timestamp
iozone,/dev/md5,3,3,1024,4,15842,15465,31887,27015,25550,10643,15443,13438,25623,1291406,1155553,2226749,2036682,0:00:00.795455,2023-06-04 22:38:54.365789
iozone,/dev/md5,3,4,1024,4,16166,15379,23607,28097,26713,10234,11894,13704,25754,1030263,1279861,1340164,1444266,0:00:01.000911,2023-06-04 22:38:55.366904
iozone,/dev/md5,3,5,1024,4,16229,23227,21396,31353,26526,11218,9846,13377,26183,1057924,1203137,1532928,1452570,0:00:00.947884,2023-06-04 22:38:56.315024
iozone,/dev/md5,4,1,1024,4,15007,14756,20802,27284,22286,10670,10686,12437,25595,1114185,1008727,1367037,1434138,0:00:00.990598,2023-06-04 22:38:57.306149
iozone,/dev/md5,4,2,1024,4,16098,13259,20015,27656,22800,10780,12158,13272,10967,1316341,843505,1352828,1410588,0:00:01.146974,2023-06-04 22:38:58.453271
iozone,/dev/md5,4,3,1024,4,9195,17431,21126,26144,20192,11214,14624,13435,26769,1744641,1675884,2835325,3937426,0:00:00.964639,2023-06-04 22:38:59.418112
iozone,/dev/md5,4,4,1024,4,13275,13920,20791,25901,22454,10474,19405,12559,23871,1291406,1113030,1942715,3133170,0:00:00.924772,2023-06-04 22:39:00.343067
iozone,/dev/md5,4,5,1024,4,20962,17869,31596,27239,25480,10284,15182,12769,27926,1314327,1098792,2169388,3314514,0:00:00.773919,2023-06-04 22:39:01.117195
iozone,/dev/md5,5,1,1024,4,15464,17564,32074,27402,25675,10697,16240,13194,26030,1703807,1460472,2869422,3671521,0:00:00.773438,2023-06-04 22:39:01.890788
iozone,/dev/md5,5,2,1024,4,15338,13482,37278,27770,20408,10749,19271,13587,14888,778242,766985,1347311,1510288,0:00:00.979709,2023-06-04 22:39:02.870733
iozone,/dev/md5,5,3,1024,4,18754,22943,21113,25957,22286,10272,11448,13506,25743,1312720,1137798,2301937,1786736,0:00:00.926962,2023-06-04 22:39:03.797900
iozone,/dev/md5,5,4,1024,4,15706,20986,21153,27018,23187,10737,11439,13268,26005,1302766,1216426,2370545,3324778,0:00:00.923574,2023-06-04 22:39:04.721674
iozone,/dev/md5,5,5,1024,4,12366,20542,31906,26731,22912,10430,7587,13140,25234,1317553,1276817,1565332,3269103,0:00:00.991869,2023-06-04 22:39:05.713752
iozone,/dev/md5,6,1,1024,8,15370,16527,22569,46153,36818,20561,11532,25697,40617,1397280,1248607,1932227,2082099,0:00:00.882342,2023-06-04 22:39:06.596338
iozone,/dev/md5,6,2,1024,8,16710,20672,38871,48911,36894,19948,18308,25874,45789,1508167,1408737,95960,2586074,0:00:00.759148,2023-06-04 22:39:07.355708
iozone,/dev/md5,6,3,1024,8,25914,22704,36688,47958,37866,19652,19016,25846,43124,1508167,632095,2852271,2183727,0:00:00.655961,2023-06-04 22:39:08.011876
iozone,/dev/md5,6,4,1024,8,25162,28960,36310,45026,38846,19759,17922,25420,36126,928479,972635,2701567,4265934,0:00:00.682423,2023-06-04 22:39:08.694510
iozone,/dev/md5,6,5,1024,8,25482,14414,24698,47054,36044,20889,14286,15929,45009,1315938,587884,2426801,3436508,0:00:01.013973,2023-06-04 22:39:09.708688
iozone,/dev/md5,7,1,1024,8,20422,28809,36068,48213,36991,20222,14489,23041,45386,1486247,955327,2056183,2472911,0:00:00.733515,2023-06-04 22:39:10.442440
iozone,/dev/md5,7,2,1024,8,28864,16478,22774,46683,37075,21783,11440,24425,42079,1501313,972414,2348509,2133821,0:00:00.873799,2023-06-04 22:39:11.316442
iozone,/dev/md5,7,3,1024,8,19613,11003,23534,44599,36489,20404,26507,24013,41489,1492963,1178380,174416,2311849,0:00:00.772111,2023-06-04 22:39:12.088761
iozone,/dev/md5,7,4,1024,8,16176,16371,38591,48473,36643,20478,11420,25778,46696,1349004,1216082,2193765,4674510,0:00:00.816959,2023-06-04 22:39:12.905921
iozone,/dev/md5,7,5,1024,8,28760,16381,36938,48377,35932,19735,14844,22404,50220,2316837,1503942,844833,2240689,0:00:00.793982,2023-06-04 22:39:13.700108
iozone,/dev/md5,8,1,1024,8,18560,30896,22976,51351,37836,20914,18930,26634,50572,2528227,2485792,912695,2216407,0:00:00.739021,2023-06-04 22:39:14.440253
iozone,/dev/md5,8,2,1024,8,18495,31002,23027,50882,37992,20607,14953,26092,50615,1369216,1314729,2798378,4060261,0:00:00.847831,2023-06-04 22:39:15.288203
iozone,/dev/md5,8,3,1024,8,29071,43068,39625,51269,38783,19420,27455,22988,50164,1418508,1570483,859714,2129589,0:00:00.707173,2023-06-04 22:39:15.995526
iozone,/dev/md5,8,4,1024,8,10579,25576,47243,41377,49612,21142,21528,27131,50978,3631168,3891053,4654248,1051192,0:00:00.639817,2023-06-04 22:39:16.635570
iozone,/dev/md5,8,5,1024,8,30442,48546,35873,49691,37484,20864,23234,26670,20396,2437821,1230718,799985,2250080,0:00:00.680812,2023-06-04 22:39:17.316584
iozone,/dev/md5,9,1,1024,8,29077,33713,36476,51654,38258,21763,19454,26030,47151,3191372,3029305,1081363,2165014,0:00:00.540915,2023-06-04 22:39:17.857818
iozone,/dev/md5,9,2,1024,8,30857,32009,35682,51454,38204,21420,27466,25999,50978,2942149,3055164,820463,4488860,0:00:00.515708,2023-06-04 22:39:18.373727
iozone,/dev/md5,9,3,1024,8,28042,42502,39195,52096,38231,21118,23003,27166,20483,3198502,1837965,1044799,4099011,0:00:00.568153,2023-06-04 22:39:18.942088
iozone,/dev/md5,9,4,1024,8,21666,32325,35624,50932,38303,21846,18264,25813,45816,3631168,3937426,6441107,6137371,0:00:00.603376,2023-06-04 22:39:19.545667
iozone,/dev/md5,9,5,1024,8,30776,31189,39383,51665,38075,20845,24006,26205,41647,3294177,4265934,1197435,5042191,0:00:00.545418,2023-06-04 22:39:20.091225
iozone,/dev/md5,10,1,1024,8,30478,29142,39215,51431,37767,21518,22148,25748,41794,3048658,3029305,7257394,2753527,0:00:00.569797,2023-06-04 22:39:20.661255
iozone,/dev/md5,10,2,1024,8,31194,26468,39776,51798,39576,20457,22522,26131,36735,1436537,1625769,915809,2478620,0:00:00.693847,2023-06-04 22:39:21.355305
iozone,/dev/md5,10,3,1024,8,21841,32440,39732,43487,38097,19938,26366,27423,50793,2231377,2835325,925877,2222141,0:00:00.814814,2023-06-04 22:39:22.170344
iozone,/dev/md5,10,4,1024,8,29245,28832,40152,51672,38167,20302,27756,26239,46679,2659742,1954207,5813392,4339202,0:00:00.599405,2023-06-04 22:39:22.769881
iozone,/dev/md5,10,5,1024,8,29492,42355,38941,50874,37771,21570,26512,26218,40137,2124322,1343938,1097388,3567824,0:00:00.543831,2023-06-04 22:39:23.313922
iozone,/dev/md5,11,1,1024,16,39760,48145,39119,85448,85625,33484,28966,45480,76088,3606774,4146499,1250061,5120336,0:00:00.440151,2023-06-04 22:39:23.754260
iozone,/dev/md5,11,2,1024,16,42386,56002,56506,88919,12699,32882,23899,49171,68793,3579719,4854136,6918376,1307923,0:00:00.506664,2023-06-04 22:39:24.261049
iozone,/dev/md5,11,3,1024,16,16999,38858,39895,87135,87379,35610,30708,44804,79208,3532609,1964935,6559147,1096268,0:00:00.457587,2023-06-04 22:39:24.718774
iozone,/dev/md5,11,4,1024,16,44260,62676,37787,85812,85440,33134,24813,46647,69339,3191372,3532609,7472033,1213334,0:00:00.447020,2023-06-04 22:39:25.165918
iozone,/dev/md5,11,5,1024,16,43745,49504,37719,85612,84264,35897,30969,48468,89721,3200886,4249053,6025439,1319982,0:00:00.407725,2023-06-04 22:39:25.573855
iozone,/dev/md5,12,1,1024,16,42590,40511,63740,87882,86237,33202,18280,45980,66005,3348104,2065081,1264041,6128613,0:00:00.427825,2023-06-04 22:39:26.001916
iozone,/dev/md5,12,2,1024,16,42382,44896,41753,31105,17116,30369,24761,36318,64059,2192645,2829721,1014925,4195100,0:00:00.531349,2023-06-04 22:39:26.533466
iozone,/dev/md5,12,3,1024,16,42075,48270,37703,86860,84037,33698,23050,46033,75122,2952261,2047361,8061038,1243906,0:00:00.422218,2023-06-04 22:39:26.955926
iozone,/dev/md5,12,4,1024,16,43645,46341,41975,62154,17913,34754,28254,46431,76670,3472628,1899750,3671521,2679655,0:00:00.724940,2023-06-04 22:39:27.681069
iozone,/dev/md5,12,5,1024,16,40745,62116,43516,55094,33287,45900,29481,42226,77551,1724328,1947119,6650556,7769397,0:00:00.574558,2023-06-04 22:39:28.255863
iozone,/dev/md5,13,1,1024,16,41157,20945,38337,87993,15115,36756,49795,32559,88697,1664841,1721563,936782,2592318,0:00:00.674082,2023-06-04 22:39:28.930185
iozone,/dev/md5,13,2,1024,16,42595,47278,37948,85497,82541,33277,21430,44927,68572,2503178,3239514,1137798,2604895,0:00:00.461243,2023-06-04 22:39:29.391636
iozone,/dev/md5,13,3,1024,16,43121,47941,37843,86515,85383,35602,30848,48054,87363,4029784,4972145,8310603,1211964,0:00:00.410802,2023-06-04 22:39:29.802671
iozone,/dev/md5,13,4,1024,16,42590,45110,42029,87126,85277,32896,30537,49389,86699,3311958,3556008,7755368,6830356,0:00:00.408264,2023-06-04 22:39:30.211065
iozone,/dev/md5,13,5,1024,16,42678,31265,38439,65294,84011,37982,29695,50146,72767,2767722,1662264,1187831,6172653,0:00:00.479934,2023-06-04 22:39:30.691162
iozone,/dev/md5,14,1,1024,16,44130,50226,38924,85603,83123,35575,24624,47964,74701,3751699,3791442,990352,2668003,0:00:00.415225,2023-06-04 22:39:31.106621
iozone,/dev/md5,14,2,1024,16,39009,54462,38571,86890,81045,34564,36241,49209,75589,3010197,5175871,9402175,1331440,0:00:00.446613,2023-06-04 22:39:31.553362
iozone,/dev/md5,14,3,1024,16,32085,43546,77306,87745,85748,36504,25364,47080,77776,2410457,1516688,1102459,6830356,0:00:00.434371,2023-06-04 22:39:31.987860
iozone,/dev/md5,14,4,1024,16,44079,55956,38642,85462,84259,35355,24655,44549,78520,3671521,4943530,7883484,1234964,0:00:00.423163,2023-06-04 22:39:32.411229
iozone,/dev/md5,14,5,1024,16,42757,45786,37900,31683,28896,32556,49365,45181,87536,3390391,4531485,8680108,1271902,0:00:00.446653,2023-06-04 22:39:32.858084
iozone,/dev/md5,15,1,1024,16,23601,41430,41977,85170,84377,33280,30867,47894,71587,3048658,4720752,1196101,6874084,0:00:00.428132,2023-06-04 22:39:33.286449
iozone,/dev/md5,15,2,1024,16,21036,42730,42328,85511,85241,36116,25468,45074,77847,3518141,3863055,1253344,6874084,0:00:00.438524,2023-06-04 22:39:33.725171
iozone,/dev/md5,15,3,1024,16,44214,48641,46328,86114,85475,33633,30019,46387,42646,1732676,998178,935151,2934110,0:00:00.550537,2023-06-04 22:39:34.275907
iozone,/dev/md5,15,4,1024,16,40467,18594,38478,85431,86472,34989,29903,47819,75762,1679160,3241960,5751117,5885083,0:00:00.547331,2023-06-04 22:39:34.823445
iozone,/dev/md5,15,5,1024,16,43927,21085,38059,74669,86632,45828,24145,48152,76088,1805514,1565902,5507740,4654248,0:00:00.602163,2023-06-04 22:39:35.425816
iozone,/dev/md5,16,1,4096,4,16383,21435,11199,49354,11150,6588,12860,13012,13281,783045,817707,1795591,1478117,0:00:03.279241,2023-06-04 22:39:38.705360
iozone,/dev/md5,16,2,4096,4,24033,21590,41098,50018,6932,6922,17522,12867,9657,998086,792253,1760989,1481303,0:00:03.257015,2023-06-04 22:39:41.962610
iozone,/dev/md5,16,3,4096,4,18012,22184,48264,37208,9979,4747,11617,12718,9647,1263801,805968,1803697,1493797,0:00:03.502412,2023-06-04 22:39:45.465282
iozone,/dev/md5,16,4,4096,4,21543,19960,11293,39063,12197,6318,16364,12935,20143,1406594,833698,1558009,1453481,0:00:03.172046,2023-06-04 22:39:48.637606
iozone,/dev/md5,16,5,4096,4,20896,22488,11656,36969,15350,6674,17677,13004,7383,1338120,805326,1689633,1449924,0:00:03.330383,2023-06-04 22:39:51.968590
iozone,/dev/md5,17,1,4096,4,21101,16618,33247,49974,17500,5440,19236,12594,5487,1160346,807749,1754873,1449924,0:00:03.495024,2023-06-04 22:39:55.463902
iozone,/dev/md5,17,2,4096,4,22219,16738,11613,34600,11682,6105,13748,12897,10185,1075031,767890,1691963,1455698,0:00:03.513328,2023-06-04 22:39:58.977484
iozone,/dev/md5,17,3,4096,4,21770,20468,11843,49532,7854,6895,16876,12465,7851,1235179,1159016,1701683,1397441,0:00:03.554260,2023-06-04 22:40:02.531999
iozone,/dev/md5,17,4,4096,4,23290,27998,51026,37959,13276,7053,16156,12181,24629,1137151,693861,1715275,1446262,0:00:02.663450,2023-06-04 22:40:05.195697
iozone,/dev/md5,17,5,4096,4,21928,18699,26465,41642,20905,6492,15922,12797,17196,1620772,809500,1693965,1461270,0:00:02.879745,2023-06-04 22:40:08.075696
iozone,/dev/md5,18,1,4096,4,20035,19842,28973,26893,8083,6297,12782,12834,18236,1595040,803931,1750403,1457180,0:00:03.371801,2023-06-04 22:40:11.447784
iozone,/dev/md5,18,2,4096,4,21936,24822,32806,30480,8315,6746,10751,12902,18460,1270436,744852,173853,1432156,0:00:03.444513,2023-06-04 22:40:14.892559
iozone,/dev/md5,18,3,4096,4,20309,18957,40627,44802,15942,5765,20380,12628,22867,1548041,804233,1730479,1450413,0:00:02.848957,2023-06-04 22:40:17.741713
iozone,/dev/md5,18,4,4096,4,20128,24661,11195,49581,14463,5337,11380,12478,10943,1299457,763895,1754156,1482453,0:00:03.456346,2023-06-04 22:40:21.198320
iozone,/dev/md5,18,5,4096,4,21681,19671,40847,44567,8814,5998,17716,12100,9753,1479772,713722,1728216,1468138,0:00:03.228104,2023-06-04 22:40:24.426686
iozone,/dev/md5,19,1,4096,4,20046,21357,41654,50650,10002,6886,17957,12986,23649,1506899,832164,1755770,1457180,0:00:02.832232,2023-06-04 22:40:27.259241
iozone,/dev/md5,19,2,4096,4,24589,23452,34880,50666,9533,6816,16487,11999,9309,1464883,835767,1818782,1511539,0:00:03.168155,2023-06-04 22:40:30.427660
iozone,/dev/md5,19,3,4096,4,27920,24735,11204,50062,12589,5731,6415,12646,8514,1425146,753080,1715961,1463884,0:00:03.809565,2023-06-04 22:40:34.237471
iozone,/dev/md5,19,4,4096,4,18619,19582,40037,40400,16593,6522,21310,12655,13459,1197970,828832,1825353,1522119,0:00:02.817703,2023-06-04 22:40:37.055432
iozone,/dev/md5,19,5,4096,4,19299,24784,34943,50425,16230,7084,18588,12812,13454,1006624,815610,1700336,1455081,0:00:02.747157,2023-06-04 22:40:39.802846
iozone,/dev/md5,20,1,4096,4,27908,24784,11734,41012,10267,6065,16374,12472,7921,1292515,819696,1761711,1476592,0:00:03.536693,2023-06-04 22:40:43.339888
iozone,/dev/md5,20,2,4096,4,21675,24677,32109,44053,14569,5131,16511,13030,22165,1052442,781976,1691130,1413887,0:00:02.900956,2023-06-04 22:40:46.241105
iozone,/dev/md5,20,3,4096,4,22461,18792,31405,45489,13526,6497,18723,12779,23551,1517012,748519,1737129,1435746,0:00:02.788110,2023-06-04 22:40:49.029480
iozone,/dev/md5,20,4,4096,4,24263,21078,31825,50899,8696,6716,14354,12742,5575,732998,848187,1773899,1478244,0:00:03.712688,2023-06-04 22:40:52.742418
iozone,/dev/md5,20,5,4096,4,13346,19742,10902,49363,13417,5895,15654,12614,10379,1577175,877114,1766239,1471281,0:00:03.629169,2023-06-04 22:40:56.371835
iozone,/dev/md5,21,1,4096,8,26591,33326,52045,53595,16671,13716,13369,20339,22873,1238206,958601,2445252,2140045,0:00:02.607270,2023-06-04 22:40:58.979412
iozone,/dev/md5,21,2,4096,8,32445,26685,29335,44890,16610,11885,24716,23163,40093,1448335,948807,2436582,2095155,0:00:02.153581,2023-06-04 22:41:01.133245
iozone,/dev/md5,21,3,4096,8,35454,34760,53234,61339,30359,13121,22362,24898,9691,1569395,954978,2705573,2141112,0:00:02.176258,2023-06-04 22:41:03.309752
iozone,/dev/md5,21,4,4096,8,24419,23887,25092,34542,18473,12668,9605,22399,8793,1363935,1335001,3165159,2047951,0:00:02.807559,2023-06-04 22:41:06.117559
iozone,/dev/md5,21,5,4096,8,37978,31175,12319,63214,16560,8707,16802,20148,8618,1359833,903214,2760347,2160499,0:00:02.794282,2023-06-04 22:41:08.912092
iozone,/dev/md5,22,1,4096,8,35956,36203,12457,75109,11455,9921,10104,21868,9085,1388518,1303994,2862450,2146730,0:00:02.857510,2023-06-04 22:41:11.769926
iozone,/dev/md5,22,2,4096,8,34697,30954,45162,55265,23733,13553,32899,22785,11877,1274016,930461,2762123,2070910,0:00:02.031049,2023-06-04 22:41:13.801237
iozone,/dev/md5,22,3,4096,8,40124,36262,53343,59484,11265,13163,23157,24632,9952,1364368,791159,2719708,2141112,0:00:02.264284,2023-06-04 22:41:16.065783
iozone,/dev/md5,22,4,4096,8,36412,29695,61590,57863,21998,12517,25735,23094,32990,1425738,1325524,2892815,2141112,0:00:01.793921,2023-06-04 22:41:17.859883
iozone,/dev/md5,22,5,4096,8,33533,37348,52162,59727,15220,12159,24746,21923,33328,1474944,1211829,507937,2138713,0:00:01.925473,2023-06-04 22:41:19.785607
iozone,/dev/md5,23,1,4096,8,23647,28604,12140,61228,23116,10785,14574,22519,7912,1203004,897458,2632201,2128907,0:00:02.707210,2023-06-04 22:41:22.493108
iozone,/dev/md5,23,2,4096,8,36945,33147,12023,74945,14248,12507,10558,21775,20126,1521580,986226,2848213,2128907,0:00:02.518712,2023-06-04 22:41:25.012087
iozone,/dev/md5,23,3,4096,8,34092,31358,12637,51821,22637,11856,20384,22075,26876,1631856,885980,2680248,2061467,0:00:02.324017,2023-06-04 22:41:27.336363
iozone,/dev/md5,23,4,4096,8,31548,28776,16144,34930,12916,7196,20379,22146,10463,1598751,875594,2647616,2132342,0:00:02.870421,2023-06-04 22:41:30.206977
iozone,/dev/md5,23,5,4096,8,36011,27591,31693,44962,9160,11948,17830,21925,26209,1526040,1549158,2794017,2105684,0:00:02.474387,2023-06-04 22:41:32.681622
iozone,/dev/md5,24,1,4096,8,27016,30008,47271,42620,9615,13165,18137,23177,29025,2001894,856688,558262,2086504,0:00:02.279802,2023-06-04 22:41:34.961720
iozone,/dev/md5,24,2,4096,8,32846,30279,30906,44958,10989,13166,23729,23025,16613,1451516,936446,2600329,2118929,0:00:02.373207,2023-06-04 22:41:37.335105
iozone,/dev/md5,24,3,4096,8,28999,26774,16655,32284,15252,10789,14585,20943,9582,1294171,962360,2587405,3456153,0:00:02.768165,2023-06-04 22:41:40.103523
iozone,/dev/md5,24,4,4096,8,33369,30673,12317,75714,17361,10225,8959,21813,8494,1370791,943544,2714551,2059243,0:00:02.912994,2023-06-04 22:41:43.016771
iozone,/dev/md5,24,5,4096,8,37941,29397,12323,47299,15452,12089,10275,22110,19774,1609384,876711,2727047,3290024,0:00:02.580851,2023-06-04 22:41:45.597873
iozone,/dev/md5,25,1,4096,8,39209,30991,44953,55299,18935,10405,23060,25134,40476,1563966,944477,2754594,2111377,0:00:01.932221,2023-06-04 22:41:47.530392
iozone,/dev/md5,25,2,4096,8,22162,33966,44902,38886,17466,12722,8456,20655,8916,1081868,1039326,2668176,2131020,0:00:02.785935,2023-06-04 22:41:50.316510
iozone,/dev/md5,25,3,4096,8,39899,33169,62205,68717,14712,10844,23827,23610,43358,1395171,2129963,111870,2127852,0:00:01.914113,2023-06-04 22:41:52.230879
iozone,/dev/md5,25,4,4096,8,30790,23933,58863,52502,21158,14960,24808,25951,6917,1270436,829832,2730514,2079181,0:00:02.360190,2023-06-04 22:41:54.591281
iozone,/dev/md5,25,5,4096,8,37102,33451,12650,65973,18507,12284,9855,21279,27120,1664424,842117,520258,3063563,0:00:02.471971,2023-06-04 22:41:57.063526
iozone,/dev/md5,26,1,4096,16,45192,32801,15746,77063,38998,19708,40507,41402,77697,1828656,986056,3673419,2732686,0:00:01.475513,2023-06-04 22:41:58.539258
iozone,/dev/md5,26,2,4096,16,38869,39066,64361,81841,27209,20715,31715,40091,65231,1463884,1034134,3586757,2652931,0:00:01.337064,2023-06-04 22:41:59.876514
iozone,/dev/md5,26,3,4096,16,44384,34740,67856,93402,29435,24331,36350,36470,56667,1820324,1271282,3438858,2666519,0:00:01.306850,2023-06-04 22:42:01.183610
iozone,/dev/md5,26,4,4096,16,46731,34757,67418,89426,35088,29979,27313,42138,61288,1501499,1090521,188062,2737912,0:00:01.322020,2023-06-04 22:42:02.505911
iozone,/dev/md5,26,5,4096,16,40309,34909,66585,86438,26824,24448,38186,41997,70522,1760267,940960,3068488,3697135,0:00:01.291976,2023-06-04 22:42:03.798054
iozone,/dev/md5,27,1,4096,16,47586,38940,67227,92949,28808,22150,37711,43148,32897,1396418,1482965,3522048,2525409,0:00:01.314866,2023-06-04 22:42:05.113196
iozone,/dev/md5,27,2,4096,16,30638,27811,14163,65701,34438,18611,11276,30777,60847,1506371,2138979,3271853,2675239,0:00:01.977116,2023-06-04 22:42:07.090581
iozone,/dev/md5,27,3,4096,16,47101,34073,16286,76962,34140,24619,30696,38043,70133,1488877,1136850,3650781,2572681,0:00:01.509593,2023-06-04 22:42:08.600431
iozone,/dev/md5,27,4,4096,16,38295,26474,15885,75946,20640,24162,26501,40634,41270,1225225,1281237,3102848,2678994,0:00:01.657529,2023-06-04 22:42:10.258215
iozone,/dev/md5,27,5,4096,16,48630,37151,13185,66728,24331,28904,24448,38269,24127,1586936,1755052,3660115,3274348,0:00:01.866081,2023-06-04 22:42:12.124546
iozone,/dev/md5,28,1,4096,16,37730,45776,60621,89889,25768,28000,34056,42750,72247,1424201,1685489,3586757,2673574,0:00:01.283145,2023-06-04 22:42:13.407842
iozone,/dev/md5,28,2,4096,16,41517,40990,78595,87396,23067,30069,24990,42785,65997,1991221,1805213,3602551,2597576,0:00:01.314561,2023-06-04 22:42:14.722597
iozone,/dev/md5,28,3,4096,16,42384,37659,78473,87682,23710,28833,28255,40541,57959,1996079,1794091,3482778,2555081,0:00:01.324150,2023-06-04 22:42:16.046965
iozone,/dev/md5,28,4,4096,16,41095,48239,68114,89681,27229,22652,31651,38394,32820,1839227,994159,3555579,2536221,0:00:01.353805,2023-06-04 22:42:17.400994
iozone,/dev/md5,28,5,4096,16,47921,30547,15499,76939,18082,26998,26709,42952,50372,1590609,1040648,2948925,2711124,0:00:01.684651,2023-06-04 22:42:19.085894
iozone,/dev/md5,29,1,4096,16,41314,42002,66393,92617,62241,30995,33320,38548,65098,2099508,2998333,8112108,6060333,0:00:01.175109,2023-06-04 22:42:20.261297
iozone,/dev/md5,29,2,4096,16,44034,34970,74311,80773,39091,29180,32607,33559,56355,1413305,946611,3611639,2687795,0:00:01.328335,2023-06-04 22:42:21.589867
iozone,/dev/md5,29,3,4096,16,40815,37265,68106,89348,38281,28504,27383,38922,43624,1605624,1488361,3583016,2678994,0:00:01.296707,2023-06-04 22:42:22.886831
iozone,/dev/md5,29,4,4096,16,47852,40718,75528,80712,27048,29700,34137,38393,67703,1425146,1159016,3419011,2464545,0:00:01.257016,2023-06-04 22:42:24.144142
iozone,/dev/md5,29,5,4096,16,48986,37234,67905,89228,25843,26652,40656,40121,78465,1986386,990319,3813675,3841819,0:00:01.254934,2023-06-04 22:42:25.399324
iozone,/dev/md5,30,1,4096,16,43282,32614,67953,75396,22143,31135,27828,36840,11427,953229,1210122,3311586,2677324,0:00:01.679207,2023-06-04 22:42:27.078810
iozone,/dev/md5,30,2,4096,16,44663,35114,16260,77677,24260,25733,28894,36912,69990,1535863,1061940,3586757,2676907,0:00:01.546958,2023-06-04 22:42:28.626049
iozone,/dev/md5,30,3,4096,16,46039,37140,15701,53780,18026,25876,10879,28881,17087,1247195,1180438,3700320,2585847,0:00:02.078102,2023-06-04 22:42:30.704398
iozone,/dev/md5,30,4,4096,16,36855,37510,13187,77756,23798,22558,14571,31630,14529,1306572,1033822,3930595,2649658,0:00:02.051402,2023-06-04 22:42:32.756065
iozone,/dev/md5,30,5,4096,16,29024,44443,59223,87050,18809,26603,22331,29466,24605,1417269,1822835,3747131,2595614,0:00:02.152720,2023-06-04 22:42:34.909051
iozone,/dev/md5,31,1,16384,4,16432,24961,50419,43258,7117,4003,15885,13055,9330,703805,759887,1704191,1473376,0:00:18.277625,2023-06-04 22:42:53.187008
iozone,/dev/md5,31,2,16384,4,25128,24948,27517,56409,6055,4615,12323,13328,9158,713029,702539,1672340,1450059,0:00:14.333234,2023-06-04 22:43:07.520482
iozone,/dev/md5,31,3,16384,4,25750,25128,27704,60608,6163,4104,15878,13443,8902,1296500,700141,1640364,1420974,0:00:14.452871,2023-06-04 22:43:21.973612
iozone,/dev/md5,31,4,16384,4,25313,23175,28232,60690,5275,4782,14540,13365,8670,1475084,716426,1603616,1406836,0:00:14.686744,2023-06-04 22:43:36.660548
iozone,/dev/md5,31,5,16384,4,25394,24466,28472,58832,6309,4921,13660,13613,9285,721064,696776,1634123,1432019,0:00:13.768529,2023-06-04 22:43:50.429335
iozone,/dev/md5,32,1,16384,4,25095,23438,25663,58720,6374,4704,14452,13481,8946,1590551,718877,1613254,1424834,0:00:14.087873,2023-06-04 22:44:04.517519
iozone,/dev/md5,32,2,16384,4,26882,24037,50415,42449,4985,4375,13614,13518,10126,1503122,715546,1656976,1426816,0:00:14.735499,2023-06-04 22:44:19.253281
iozone,/dev/md5,32,3,16384,4,25805,24027,27077,50418,6713,4552,12936,13137,8668,1649301,729864,1614846,1422828,0:00:14.270264,2023-06-04 22:44:33.523752
