Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,write,rewrite,read,reread,random_reread,random_write(KB/s),bkwd_read,record_rewrite,stride_read,fwrite,"fread,freread",time,timestamp
iozone,/dev/md5,1,1,1024,4,8711,30576,33860,27236,25871,11029,18369,12911,25262,1454537,1475525,2331932,1834824,0:00:00.811821,2023-06-04 22:38:43.968235
iozone,/dev/md5,1,2,1024,4,26127,30771,33718,27106,26115,11049,18322,12266,24813,1164956,1389145,2170484,3291652,0:00:00.731262,2023-06-04 22:38:44.700048
iozone,/dev/md5,1,3,1024,4,31547,32061,33979,26615,26259,11707,18158,12585,22579,1319577,1058706,1322828,1328146,0:00:00.778982,2023-06-04 22:38:45.479258
iozone,/dev/md5,1,4,1024,4,27542,31881,33353,26873,27939,10925,13953,13025,22465,1160862,1145383,2146618,3301774,0:00:00.735625,2023-06-04 22:38:46.215099
iozone,/dev/md5,1,5,1024,4,24885,30973,20849,31069,24258,11016,18893,13915,26600,929082,1914144,3066069,4014717,0:00:00.783564,2023-06-04 22:38:46.998867
iozone,/dev/md5,2,1,1024,4,17333,17806,24862,31904,18100,10530,17206,13553,21343,1815435,1641301,3040026,3863055,0:00:00.797297,2023-06-04 22:38:47.796386
iozone,/dev/md5,2,2,1024,4,22019,21069,32206,28294,26055,11466,15571,13736,22488,999107,938625,2098375,1957770,0:00:00.878110,2023-06-04 22:38:48.674693
iozone,/dev/md5,2,3,1024,4,10584,6939,37271,27795,23157,11463,11162,12235,23955,1286378,798053,2265510,3066069,0:00:01.078715,2023-06-04 22:38:49.753584
iozone,/dev/md5,2,4,1024,4,24117,28609,20729,25435,22030,10598,10023,12744,19243,1345623,1345201,2306882,3191372,0:00:00.914995,2023-06-04 22:38:50.668783
iozone,/dev/md5,2,5,1024,4,27241,31809,21115,26838,22674,10829,13870,12617,17261,1378002,798795,2250080,2966535,0:00:00.907531,2023-06-04 22:38:51.576512
iozone,/dev/md5,3,1,1024,4,30871,32528,33813,26950,26087,11444,11408,12377,25641,953418,1331440,1939207,3532609,0:00:00.807319,2023-06-04 22:38:52.384065
iozone,/dev/md5,3,2,1024,4,22997,20853,21214,26960,23044,10645,18748,13106,18442,799390,765890,1999700,1896395,0:00:01.185873,2023-06-04 22:38:53.570130
