Benchmark,Disk,file_size,record_size,write,rewrite,read,reread,time_test
iozone,md1,4M,8k,8k,4096,8,57598,40079,78545,87252,0:00:00.416391
iozone,md1,4M,8k,8k,4096,8,46775,46759,78690,93190,0:00:00.399334
iozone,md1,4M,8k,8k,4096,8,44402,33748,81331,89266,0:00:00.457307
iozone,md1,4M,8k,8k,4096,8,42974,46444,84871,92059,0:00:00.407999
iozone,md1,4M,8k,8k,4096,8,35132,41948,81339,91186,0:00:00.449241
iozone,md1,4M,8k,8k,4096,8,53104,40591,78305,87443,0:00:00.408142
iozone,md1,4M,8k,8k,4096,8,35595,44666,78016,88762,0:00:00.499165
iozone,md1,4M,8k,8k,4096,8,47902,45930,80943,94245,0:00:00.399370
iozone,md1,4M,8k,8k,4096,8,47966,29236,82198,88746,0:00:00.480241
iozone,md1,4M,8k,8k,4096,8,34191,37651,90248,82018,0:00:00.494906
iozone,md1,4M,8k,8k,4096,8,37028,47314,92285,82187,0:00:00.433321
iozone,md1,4M,8k,8k,4096,8,46104,31926,84586,83656,0:00:00.448586
iozone,md1,4M,8k,8k,4096,8,43916,42274,79760,91733,0:00:00.423394
iozone,md1,4M,8k,8k,4096,8,48084,40652,74161,88975,0:00:00.410607
iozone,md1,4M,8k,8k,4096,8,43165,44527,80258,90768,0:00:00.413700
iozone,md1,4M,8k,8k,4096,8,47602,41595,75409,89146,0:00:00.408494
iozone,md1,4M,8k,8k,4096,8,47068,40171,87136,90945,0:00:00.439809
iozone,md1,4M,8k,8k,4096,8,39969,41246,78465,93063,0:00:00.574174
iozone,md1,4M,8k,8k,4096,8,39129,41353,75832,90751,0:00:00.424128
iozone,md1,4M,8k,8k,4096,8,45141,41257,84638,91440,0:00:00.416379
iozone,md1,4M,8k,8k,4096,8,56783,42975,81632,89352,0:00:00.391141
iozone,md1,4M,16k,16k,4096,16,62320,52859,114942,101612,0:00:00.349960
iozone,md1,4M,16k,16k,4096,16,51292,56907,92559,107687,0:00:00.390806
iozone,md1,4M,16k,16k,4096,16,63560,34547,109632,101850,0:00:00.424278
iozone,md1,4M,16k,16k,4096,16,59966,44125,94738,105009,0:00:00.399534
iozone,md1,4M,16k,16k,4096,16,62369,41717,102490,103969,0:00:00.416566
iozone,md1,4M,16k,16k,4096,16,71575,51862,100804,105414,0:00:00.366173
iozone,md1,4M,16k,16k,4096,16,38729,37611,105651,101190,0:00:00.423819
iozone,md1,4M,16k,16k,4096,16,52441,53588,105125,101235,0:00:00.424943
iozone,md1,4M,16k,16k,4096,16,59998,48023,103275,103287,0:00:00.382470
iozone,md1,4M,16k,16k,4096,16,58054,31098,96882,103064,0:00:00.409233
iozone,md1,4M,16k,16k,4096,16,59626,44698,106959,101564,0:00:00.406271
iozone,md1,4M,16k,16k,4096,16,57223,36769,104281,102185,0:00:00.424418
iozone,md1,4M,16k,16k,4096,16,51123,55514,112651,104218,0:00:00.374612
iozone,md1,4M,16k,16k,4096,16,51193,59274,100919,100729,0:00:00.385447
iozone,md1,4M,16k,16k,4096,16,54881,40003,112422,112201,0:00:00.413363
iozone,md1,4M,16k,16k,4096,16,37671,61799,97612,101992,0:00:00.390975
iozone,md1,4M,16k,16k,4096,16,66099,50656,101303,103199,0:00:00.367799
iozone,md1,4M,16k,16k,4096,16,41181,45821,107098,76436,0:00:00.444107
iozone,md1,4M,16k,16k,4096,16,55874,41350,97551,98741,0:00:00.471113
iozone,md1,4M,16k,16k,4096,16,56218,42303,96149,103583,0:00:00.411342
iozone,md1,4M,16k,16k,4096,16,54845,68561,105687,119337,0:00:00.374485
iozone,md1,4M,16k,16k,4096,16,40267,63178,102715,114987,0:00:00.428242
iozone,md1,4M,16k,16k,4096,16,50420,55983,106209,115984,0:00:00.405382
iozone,md1,4M,16k,16k,4096,16,51370,48131,107196,78972,0:00:00.427137
iozone,md1,4M,16k,16k,4096,16,38597,57214,106273,102073,0:00:00.448734
iozone,md1,4M,4k,4k,4096,4,32996,27831,54457,56308,0:00:00.556893
iozone,md1,4M,4k,4k,4096,4,33068,31708,52928,59326,0:00:00.541221
iozone,md1,4M,4k,4k,4096,4,35777,28276,55884,58767,0:00:00.524452
iozone,md1,4M,4k,4k,4096,4,31435,30103,54262,58379,0:00:00.590668
iozone,md1,4M,4k,4k,4096,4,33606,29995,54050,57449,0:00:00.549218
iozone,md1,4M,4k,4k,4096,4,33114,30901,54943,59738,0:00:00.524283
iozone,md1,4M,4k,4k,4096,4,29325,25956,54367,57337,0:00:00.632722
iozone,md1,4M,4k,4k,4096,4,34250,30544,53891,58335,0:00:00.515506
iozone,md1,4M,4k,4k,4096,4,32439,28257,54044,57868,0:00:00.541165
iozone,md1,4M,4k,4k,4096,4,32423,23292,47988,62736,0:00:00.600204
iozone,md1,4M,4k,4k,4096,4,32395,27692,50701,52258,0:00:00.561149
iozone,md1,4M,4k,4k,4096,4,29111,28286,53886,59264,0:00:00.619679
iozone,md1,4M,4k,4k,4096,4,37988,30591,53790,59367,0:00:00.524334
iozone,md1,4M,4k,4k,4096,4,31486,28599,53801,59091,0:00:00.582342
iozone,md1,4M,4k,4k,4096,4,34039,32234,50721,52112,0:00:00.520533
iozone,md1,4M,4k,4k,4096,4,34854,32336,48500,57790,0:00:00.528293
iozone,md1,4M,4k,4k,4096,4,33600,30281,53890,58734,0:00:00.566643
iozone,md1,4M,4k,4k,4096,4,32038,30960,54087,58495,0:00:00.549051
iozone,md1,4M,4k,4k,4096,4,32602,26119,56182,58547,0:00:00.549523
iozone,md1,4M,4k,4k,4096,4,32074,29295,52995,58105,0:00:00.540997
iozone,md1,4M,4k,4k,4096,4,26461,29057,54764,58547,0:00:00.623658
iozone,md1,4M,4k,4k,4096,4,31890,34034,56200,58527,0:00:00.532403
iozone,md1,4M,4k,4k,4096,4,28826,30281,56339,58636,0:00:00.557794
iozone,md1,4M,4k,4k,4096,4,30325,28283,53029,58152,0:00:00.549413
iozone,md1,4M,4k,4k,4096,4,32399,28535,53967,58908,0:00:00.573864
iozone,md1,4M,8k,8k,4096,8,47362,36552,86722,91024,0:00:00.425382
iozone,md1,4M,8k,8k,4096,8,50942,30957,83191,91512,0:00:00.433074
iozone,md1,4M,8k,8k,4096,8,47794,38770,81926,90955,0:00:00.416060
iozone,md1,4M,8k,8k,4096,8,47927,30978,79240,88203,0:00:00.432675
iozone,md1,4M,8k,8k,4096,8,45841,37783,86925,91143,0:00:00.457536
iozone,md1,4M,8k,8k,4096,8,46712,47194,81746,88784,0:00:00.399468
iozone,md1,4M,8k,8k,4096,8,51371,39739,81134,77443,0:00:00.418781
iozone,md1,4M,8k,8k,4096,8,51456,39973,84684,92466,0:00:00.430070
iozone,md1,4M,8k,8k,4096,8,47597,32221,79350,88203,0:00:00.424622
iozone,md1,4M,8k,8k,4096,8,46210,40007,86851,90609,0:00:00.432771
iozone,md1,4M,8k,8k,4096,8,45596,45518,68894,83571,0:00:00.497442
iozone,md1,4M,8k,8k,4096,8,50133,37809,86629,91236,0:00:00.417408
iozone,md1,4M,8k,8k,4096,8,34225,43786,81326,91532,0:00:00.474659
iozone,md1,4M,8k,8k,4096,8,46506,38485,81392,77379,0:00:00.435205
iozone,md1,4M,8k,8k,4096,8,40013,46290,80830,91797,0:00:00.463548
iozone,md1,4M,8k,8k,4096,8,44780,31206,76227,83191,0:00:00.465911
iozone,md1,4M,8k,8k,4096,8,46818,46746,89180,90971,0:00:00.399534
iozone,md1,4M,8k,8k,4096,8,43243,35661,82911,90711,0:00:00.433141
iozone,md1,4M,8k,8k,4096,8,48531,34469,82602,92152,0:00:00.415944
iozone,md1,4M,8k,8k,4096,8,50121,25591,90864,68283,0:00:00.478171
iozone,md1,4M,8k,8k,4096,8,28846,32925,91194,82878,0:00:00.521466
iozone,md1,4M,8k,8k,4096,8,45953,38000,85014,83862,0:00:00.482280
iozone,md1,4M,8k,8k,4096,8,46298,31864,86949,82700,0:00:00.491393
iozone,md1,4M,8k,8k,4096,8,41615,40710,83679,87425,0:00:00.439676
iozone,md1,4M,8k,8k,4096,8,50511,38823,84504,91855,0:00:00.433208
iozone,md1,4M,16k,16k,4096,16,53670,57053,104695,101532,0:00:00.382641
iozone,md1,4M,16k,16k,4096,16,56367,66854,99816,99732,0:00:00.358481
iozone,md1,4M,16k,16k,4096,16,48425,50973,105287,101316,0:00:00.398782
iozone,md1,4M,16k,16k,4096,16,45207,71957,103685,102353,0:00:00.349728
iozone,md1,4M,16k,16k,4096,16,49858,57593,78990,77051,0:00:00.403458
iozone,md1,4M,16k,16k,4096,16,44951,36254,103562,100958,0:00:00.420958
iozone,md1,4M,16k,16k,4096,16,59933,54146,115592,101026,0:00:00.374624
iozone,md1,4M,16k,16k,4096,16,40845,55646,114733,102328,0:00:00.381626
iozone,md1,4M,16k,16k,4096,16,61940,52023,101090,105632,0:00:00.366308
iozone,md1,4M,16k,16k,4096,16,52155,56893,102517,103546,0:00:00.366673
iozone,md1,4M,16k,16k,4096,16,66888,54740,111796,104516,0:00:00.357475
iozone,md1,4M,16k,16k,4096,16,52972,48772,111026,104196,0:00:00.449827
iozone,md1,4M,16k,16k,4096,16,47332,57553,116688,101786,0:00:00.382278
iozone,md1,4M,16k,16k,4096,16,50213,49688,102287,104200,0:00:00.391213
iozone,md1,4M,16k,16k,4096,16,52186,37222,98256,104596,0:00:00.409086
iozone,md1,4M,16k,16k,4096,16,56487,42289,114120,108371,0:00:00.398064
iozone,md1,4M,16k,16k,4096,16,52145,51817,104697,101801,0:00:00.391198
iozone,md1,4M,16k,16k,4096,16,61482,37679,103340,102494,0:00:00.400950
iozone,md1,4M,16k,16k,4096,16,66738,37406,104834,100616,0:00:00.398722
iozone,md1,4M,16k,16k,4096,16,63609,48887,115192,107843,0:00:00.365299
iozone,md1,4M,16k,16k,4096,16,57864,55483,104634,101771,0:00:00.375114
iozone,md1,4M,16k,16k,4096,16,49856,51679,110228,105260,0:00:00.440514
iozone,md1,4M,16k,16k,4096,16,55931,47704,103949,101607,0:00:00.425511
iozone,md1,4M,16k,16k,4096,16,59521,48690,112342,103604,0:00:00.381408
iozone,md1,4M,16k,16k,4096,16,51520,49242,106234,100723,0:00:00.400063
iozone,md1,4M,4k,4k,4096,4,29268,29756,54285,58348,0:00:00.556379
iozone,md1,4M,4k,4k,4096,4,38880,31120,56200,58438,0:00:00.532526
iozone,md1,4M,4k,4k,4096,4,30008,30035,50073,54361,0:00:00.577911
iozone,md1,4M,4k,4k,4096,4,38011,29363,48491,38257,0:00:00.609188
iozone,md1,4M,4k,4k,4096,4,30853,28604,54633,59239,0:00:00.544037
iozone,md1,4M,4k,4k,4096,4,34304,32655,53599,56358,0:00:00.536499
iozone,md1,4M,4k,4k,4096,4,38465,28317,51953,58438,0:00:00.570464
iozone,md1,4M,4k,4k,4096,4,35173,31195,54072,56157,0:00:00.566180
iozone,md1,4M,4k,4k,4096,4,38156,27508,49262,56195,0:00:00.568037
iozone,md1,4M,4k,4k,4096,4,32080,25778,49266,54407,0:00:00.599454
iozone,md1,4M,4k,4k,4096,4,33675,30022,54466,58124,0:00:00.538700
iozone,md1,4M,4k,4k,4096,4,31108,30374,48669,41223,0:00:00.595147
iozone,md1,4M,4k,4k,4096,4,30146,30652,56192,58340,0:00:00.544971
iozone,md1,4M,4k,4k,4096,4,31754,34767,54129,56311,0:00:00.549373
iozone,md1,4M,4k,4k,4096,4,31338,28732,51529,59209,0:00:00.607432
iozone,md1,4M,4k,4k,4096,4,24608,25942,53746,57461,0:00:00.615835
iozone,md1,4M,4k,4k,4096,4,33171,32251,51171,61976,0:00:00.525991
iozone,md1,4M,4k,4k,4096,4,35012,30422,48501,38318,0:00:00.594174
iozone,md1,4M,4k,4k,4096,4,32255,30749,47117,38671,0:00:00.582871
iozone,md1,4M,4k,4k,4096,4,32473,27901,54129,56399,0:00:00.602162
iozone,md1,4M,4k,4k,4096,4,34512,27797,56292,58623,0:00:00.532594
iozone,md1,4M,4k,4k,4096,4,33274,30803,54597,58275,0:00:00.549258
iozone,md1,4M,4k,4k,4096,4,32921,30436,53818,58920,0:00:00.582972
iozone,md1,4M,4k,4k,4096,4,30813,17252,53794,59860,0:00:00.749037
iozone,md1,4M,4k,4k,4096,4,28735,31350,56899,58080,0:00:00.567063
iozone,md1,4M,8k,8k,4096,8,49212,35809,90585,82679,0:00:00.466616
iozone,md1,4M,8k,8k,4096,8,44068,35647,79099,78069,0:00:00.478492
iozone,md1,4M,8k,8k,4096,8,36558,33513,76387,78707,0:00:00.514821
iozone,md1,4M,8k,8k,4096,8,39625,34115,85086,82607,0:00:00.455602
iozone,md1,4M,8k,8k,4096,8,42877,35798,80995,91050,0:00:00.455709
iozone,md1,4M,8k,8k,4096,8,47331,32838,80487,87032,0:00:00.449299
iozone,md1,4M,8k,8k,4096,8,56718,32824,79673,92202,0:00:00.458121
iozone,md1,4M,8k,8k,4096,8,45639,36485,65200,84607,0:00:00.457495
iozone,md1,4M,8k,8k,4096,8,38653,33934,80473,88571,0:00:00.459173
iozone,md1,4M,8k,8k,4096,8,48554,44687,81913,89189,0:00:00.431480
iozone,md1,4M,8k,8k,4096,8,46941,49073,79375,92464,0:00:00.390978
iozone,md1,4M,8k,8k,4096,8,47976,39469,78705,92391,0:00:00.441399
iozone,md1,4M,8k,8k,4096,8,44817,34910,63126,80350,0:00:00.460389
iozone,md1,4M,8k,8k,4096,8,47226,37433,88960,89147,0:00:00.437780
iozone,md1,4M,8k,8k,4096,8,49421,34822,74834,84429,0:00:00.458260
iozone,md1,4M,8k,8k,4096,8,43240,49379,79805,91471,0:00:00.407616
iozone,md1,4M,8k,8k,4096,8,39185,33874,72320,84915,0:00:00.507778
